Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"BUTTER,WITH SALT","BUTTER,WHIPPED,WITH SALT","BUTTER,WITHOUT SALT",717.0,0.85,81.11,0.06,0.06,714.0,215.0
"BUTTER,WHIPPED,WITH SALT","BUTTER,WITH SALT","BUTTER,WITHOUT SALT",717.0,0.85,81.11,0.06,0.06,827.0,219.0
"BUTTER OIL,ANHYDROUS","FAT,BEEF TALLOW","OIL,PAM COOKING SPRAY,ORIGINAL",876.0,0.28,99.48,28.47822187560928,12.175499856774563,2.0,256.0
"CHEESE,BLUE","CHEESE,PAST PROCESS,PIMENTO","CHEESE,PAST PROCESS,SWISS",353.0,21.4,28.74,2.34,0.5,1395.0,75.0
"CHEESE,BRICK","CHEESE,COLBY","CHEESE,MUENSTER",371.0,23.24,29.68,2.79,0.51,560.0,94.0
"CHEESE,BRIE","CHEESE,LIMBURGER","CHEESE,MOZZARELLA,WHL MILK,LO MOIST",334.0,20.75,27.68,0.45,0.45,629.0,100.0
"CHEESE,CAMEMBERT","CHEESE,LIMBURGER","CHEESE,WHITE,QUESO BLANCO",300.0,19.8,24.26,0.46,0.46,842.0,72.0
"CHEESE,CARAWAY","CHEESE,TILSIT","CHEESE,CHESHIRE",376.0,25.18,29.2,3.06,12.175499856774563,690.0,93.0
"CHEESE,CHEDDAR","CHEESE,COLBY","CHEESE,MONTEREY",403.0,24.9,33.14,1.28,0.52,621.0,105.0
"CHEESE,CHESHIRE","CHEESE,CARAWAY","CHEESE,TILSIT",387.0,23.37,30.6,4.78,12.175499856774563,700.0,103.0
"CHEESE,COLBY","CHEESE,BRICK","CHEESE,CHEDDAR",394.0,23.76,32.11,2.57,0.52,604.0,95.0
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD","CHEESE,COTTAGE,CRMD,W/FRUIT","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",98.0,11.12,4.3,3.38,2.67,364.0,17.0
"CHEESE,COTTAGE,CRMD,W/FRUIT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",97.0,10.69,3.85,4.61,2.38,344.0,13.0
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD","CHEESE,COTTAGE,CRMD,W/FRUIT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",72.0,10.34,0.29,6.66,1.85,330.0,7.0
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT","CHEESE,COTTAGE,LOWFAT,1% MILKFAT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",86.0,11.83,2.45,3.66,3.67,330.0,10.0
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT","CHEESE,COTTAGE,LOWFAT,2% MILKFAT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",72.0,12.39,1.02,2.72,2.72,406.0,4.0
"CHEESE,CREAM","CREAM,FLUID,HVY WHIPPING","CREAM,FLUID,LT WHIPPING",342.0,5.93,34.24,4.07,3.21,321.0,110.0
"CHEESE,EDAM","CHEESE,MEXICAN BLEND","CHEESE,PROVOLONE",357.0,24.99,27.8,1.43,1.43,965.0,89.0
"CHEESE,FETA","CHEESE,FRSH,QUESO FRESCO","CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",264.0,14.21,21.28,4.09,4.09,1116.0,89.0
"CHEESE,FONTINA","CHEESE,CHEDDAR","CHEESE,GOUDA",389.0,25.6,31.14,1.55,1.55,800.0,116.0
"CHEESE,GJETOST","MACE,GROUND","SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND",466.0,9.65,29.51,42.65,12.175499856774563,600.0,94.0
"CHEESE,GOUDA","CHEESE,EDAM","CHEESE,FONTINA",356.0,24.94,27.44,2.22,2.22,819.0,114.0
